접종일,당일 1차접종자 수,1차접종 누계,당일 2차접종자 수,2차접종 누계,경기도 확진자 일별 총 현황
2022.05.17,153,153,162,11679399,4860892
2022.05.16,0,0,2,11679175,4851821
2022.05.15,251,251,248,11679160,4848245
2022.05.14,335,335,425,11678827,4842445
2022.05.13,169,169,226,11678314,4835488
2022.05.12,134,134,217,11677997,4827730
2022.05.11,130,130,165,11677703,4819342
2022.05.10,182,182,221,11677489,4808841
2022.05.09,5,5,3,11677199,4797513
2022.05.08,188,188,230,11677197,4792026
2022.05.07,530,530,592,11676900,4783473
2022.05.06,14,14,9,11676220,4774034
2022.05.05,193,193,221,11676121,4767866
2022.05.04,181,181,237,11675789,4757630
2022.05.03,211,211,264,11675362,4745966
2022.05.02,5,5,6,11675036,4734258
2022.05.01,466,466,396,11675027,4728917
2022.04.30,733,733,844,11674485,4720342
2022.04.29,268,268,304,11673502,4710003
2022.04.28,225,225,248,11673116,4697965
2022.04.27,182,182,240,11672729,4684310
2022.04.26,233,233,341,11672445,4665892
2022.04.25,5,5,12,11672021,4646551
2022.04.24,507,507,450,11672009,4637493
2022.04.23,967,967,1002,11671485,4622244
2022.04.22,329,329,325,11670417,4603813
2022.04.21,197,197,249,11669997,4583391
2022.04.20,151,151,231,11669706,4560783
2022.04.19,241,241,258,11669419,4532233
2022.04.18,3,3,7,11669066,4502575
2022.04.17,628,628,349,11669054,4488649
2022.04.16,1324,1324,795,11668681,4465531
2022.04.15,347,347,396,11667781,4438056
2022.04.14,292,292,276,11667265,4405483
2022.04.13,273,273,274,11666848,4367498
2022.04.12,353,353,408,11666422,4315720
2022.04.11,9,9,6,11665904,4261542
2022.04.10,1241,1241,425,11665909,4235767
2022.04.09,1879,1879,953,11665380,4193411
2022.04.08,571,571,477,11664260,4145220
2022.04.07,423,423,359,11663658,4090410
2022.04.06,406,406,452,11663139,4030170
2022.04.05,820,820,704,11662554,3953289
2022.04.04,14,14,11,11661647,3883961
2022.04.03,2188,2188,733,11661597,3847024
2022.04.02,2832,2832,1490,11660707,3784881
2022.04.01,987,987,768,11658983,3713377
2022.03.31,267,267,264,11657806,3637764
2022.03.30,295,295,919,11657420,3553139
2022.03.29,426,426,1270,11656204,3436151
2022.03.28,9,9,14,11654676,3347478
2022.03.27,468,468,360,11654640,3296904
2022.03.26,750,750,761,11654191,3211522
2022.03.25,400,400,389,11653075,3120770
2022.03.24,299,299,260,11652490,3033103
2022.03.23,426,426,259,11652067,2925631
2022.03.22,552,552,613,11651518,2788761
2022.03.21,11,11,17,11650568,2692548
2022.03.20,666,666,633,11650550,2635639
2022.03.19,1161,1161,1450,11649785,2547159
2022.03.18,573,573,626,11648070,2445654
2022.03.17,472,472,531,11647263,2331981
2022.03.16,611,611,731,11646484,2149993
2022.03.15,875,875,1239,11645542,2055186
2022.03.14,19,19,58,11644148,1952202
2022.03.13,1210,1210,1851,11644034,1874781
2022.03.12,2137,2137,3422,11641864,1783312
2022.03.11,1164,1164,1436,11638180,1675373
2022.03.10,261,261,252,11636607,1602946
2022.03.09,1360,1360,1243,11636270,1514802
2022.03.08,1954,1954,1565,11634827,1418120
2022.03.07,17,17,94,11633112,1365390
2022.03.06,799,799,1759,11632949,1314285
2022.03.05,939,939,1943,11631066,1247452
2022.03.04,477,477,1012,11628827,1177208
2022.03.03,505,505,1023,11627523,1100482
2022.03.02,76,76,124,11626259,1048539
2022.03.01,1439,1439,2211,11625940,979916
2022.02.28,94,94,215,11623095,940703
2022.02.27,1600,1600,2645,11622826,903445
2022.02.26,2279,2279,3565,11619939,856644
2022.02.25,1599,1599,2670,11615763,808494
2022.02.24,1395,1395,885,11612592,760412
2022.02.23,1615,1615,923,11611246,709092
2022.02.22,2106,2106,1454,11609730,655560
2022.02.21,140,140,229,11607515,625998
2022.02.20,1965,1965,2894,11607238,599219
2022.02.19,2978,2978,3966,11604037,567891
2022.02.18,2284,2284,2551,11599197,537249
2022.02.17,2288,2288,2400,11596062,500738
2022.02.16,2437,2437,2809,11593116,472291
2022.02.15,2821,2821,3588,11589778,444328
2022.02.14,146,146,239,11585157,427088
2022.02.13,1760,1760,3722,11584829,411215
2022.02.12,2215,2215,5221,11580750,394141
2022.02.11,1597,1597,3628,11574864,378200
2022.02.10,1357,1357,3308,11570543,360224
2022.02.09,1542,1542,4303,11566656,342473
2022.02.08,2217,2217,6038,11561639,328822
2022.02.07,208,208,415,11554632,316684
2022.02.06,2258,2258,5284,11554125,306879
2022.02.05,3283,3283,9148,11548357,294927
2022.02.04,3275,3275,12817,11537621,284478
2022.02.03,140,140,235,11523364,277252
2022.02.02,23,23,59,11523122,270695
2022.02.01,203,203,315,11523062,264645
2022.01.31,268,268,543,11522684,259108
2022.01.30,2442,2442,6389,11521975,254003
2022.01.29,3621,3621,9468,11515030,248292
2022.01.28,2447,2447,6381,11504339,242663
2022.01.27,2212,2212,5808,11497196,237491
2022.01.26,2448,2448,6783,11490561,232726
2022.01.25,3195,3195,9928,11482935,228505
2022.01.24,251,251,815,11471969,225590
2022.01.23,2940,2940,5318,11471036,223148
2022.01.22,4075,4075,14391,11464868,220435
2022.01.21,2669,2669,11076,11449473,218009
2022.01.20,2473,2473,10756,11437631,215578
2022.01.19,3209,3209,11218,11426280,213160
2022.01.18,4196,4196,17153,11414202,210984
2022.01.17,355,355,1438,11395833,209454
2022.01.16,3880,3880,8618,11394192,208027
2022.01.15,5870,5870,21705,11384397,206441
2022.01.14,4048,4048,18452,11361626,204618
2022.01.13,4134,4134,18342,11342341,202762
2022.01.12,5009,5009,17161,11322902,201227
2022.01.11,6524,6524,26080,11304642,199600
2022.01.10,456,456,1939,11276982,198485
2022.01.09,4776,4776,20925,11274803,197471
2022.01.08,6747,6747,26875,11252915,196357
2022.01.07,4938,4938,19397,11224648,195149
2022.01.06,5048,5048,16460,11203894,193888
2022.01.05,6216,6216,12871,11186157,192362
2022.01.04,9790,9790,19776,11171764,190895
2022.01.03,767,767,960,11164837,189948
2022.01.02,1509,1509,1823,11163753,189031
2022.01.01,13429,13429,14990,11160937,187754
2021.12.31,12257,12257,11757,11144147,186363
2021.12.30,12466,12466,12017,11130855,184887
2021.12.29,10976,10976,11533,11117180,183425
2021.12.28,1406,1406,755,11083127,180729
2021.12.27,3295,3295,1647,11082248,179556
2021.12.26,20000,20000,11840,11080149,177903
2021.12.25,19412,19412,8984,11066512,176223
2021.12.24,20068,20068,9574,11055810,174555
2021.12.23,17164,17164,9263,11044289,172606
2021.12.22,27881,27881,13761,11032601,170381
2021.12.21,2272,2272,705,11016264,169068
2021.12.20,20120,20120,14003,11014860,167580
2021.12.19,26520,26520,21580,10999350,165827
2021.12.18,22070,22070,14098,10975399,163786
2021.12.17,18845,18845,11097,10959162,161633
2021.12.16,12932,12932,9217,10946077,159481
2021.12.15,18734,18734,13501,10934615,157182
2021.12.14,765,765,489,10919282,155685
2021.12.13,7971,7971,10095,10918704,154318
2021.12.12,13040,13040,17411,10907699,152303
2021.12.11,11172,11172,11469,10888835,150245
2021.12.10,11239,11239,10564,10876211,148215
2021.12.09,10012,10012,10301,10864754,146074
2021.12.08,15055,15055,17087,10853050,143806
2021.12.07,734,734,871,10835028,142485
2021.12.06,7060,7060,18275,10833979,141171
2021.12.05,9350,9350,25158,10814771,139686
2021.12.04,6180,6180,16579,10788551,138011
2021.12.03,6286,6286,17373,10771166,136546
2021.12.02,5839,5839,13978,10752983,135053
2021.12.01,8699,8699,33314,10738317,133472
2021.11.30,409,409,865,10704282,132565
2021.11.29,12905,12905,15640,10703317,131655
2021.11.28,16842,16842,23163,10686285,130565
2021.11.27,12101,12101,17786,10662163,129456
2021.11.26,9822,9822,14981,10643733,128336
2021.11.25,6560,6560,11628,10627922,127234
2021.11.24,11116,11116,24897,10615349,126050
2021.11.23,524,524,965,10589819,125278
2021.11.22,8359,8359,12491,10588744,124458
2021.11.21,11727,11727,18983,10575168,123466
2021.11.20,9659,9659,15686,10555292,122473
2021.11.19,9544,9544,16745,10538682,121624
2021.11.18,8134,8134,13148,10520829,120658
2021.11.17,14680,14680,24600,10506476,119695
2021.11.16,1130,1130,1581,10481083,119036
2021.11.15,18808,18808,31209,10479352,118434
2021.11.14,21857,21857,38649,10447512,117634
2021.11.13,16636,16636,26001,10407484,116986
2021.11.12,17704,17704,24544,10380520,116195
2021.11.11,12776,12776,31002,10354964,115374
2021.11.10,33994,33994,43037,10322323,114508
2021.11.09,1012,1012,1362,10278645,113980
2021.11.08,15351,15351,18715,10277121,113436
2021.11.07,17912,17912,42324,10256824,112733
2021.11.06,15649,15649,33137,10213091,112040
2021.11.05,16742,16742,19929,10179113,111298
2021.11.04,11871,11871,23622,10158043,110427
2021.11.03,24339,24339,33718,10133504,109528
2021.11.02,1187,1187,9196,10098136,109027
2021.11.01,11965,11965,112139,10088613,108463
2021.10.31,15068,15068,198469,9971107,107762
2021.10.30,16268,16268,178283,9769839,107044
2021.10.29,20258,20258,75215,9589628,106282
2021.10.28,11534,11534,81225,9512249,105575
2021.10.27,21105,21105,120546,9428460,104836
2021.10.26,1542,1542,7681,9306935,104405
2021.10.25,16128,16128,109777,9298657,140004
2021.10.24,14776,14776,187196,9183345,103483
2021.10.23,12662,12662,122635,8994305,102965
2021.10.22,13871,13871,97300,8869937,102447
2021.10.21,9913,9913,135106,8770238,1401921
2021.10.20,17766,17766,180966,8633976,101333
2021.10.19,524,524,8549,8451744,100932
2021.10.18,20341,20341,108817,8442780,100567
2021.10.17,24498,24498,200315,8333107,100076
2021.10.16,14871,14871,124130,8129683,99489
2021.10.15,14813,14813,105077,8003289,98878
2021.10.14,25870,25870,148600,7895081,98188
2021.10.13,25499,25499,40057,7744305,97679
2021.10.12,870,870,8325,7703940,97268
2021.10.11,3031,3031,37089,7695398,96909
2021.10.10,11305,11305,287617,7657788,96359
2021.10.09,8910,8910,181392,7368827,95721
2021.10.08,9435,9435,129174,7186258,94962
2021.10.07,11728,11728,194215,7056277,94107
2021.10.06,7796,7796,62318,6861405,93422
2021.10.05,1521,1521,14291,6798983,92925
2021.10.04,41966,41966,125376,6784460,92391
2021.10.03,73071,73071,231628,6658250,91713
2021.10.02,103681,103681,141741,6425909,90954
2021.10.01,69726,69726,140267,6283456,90129
2021.09.30,75272,75272,184775,6142578,89245
2021.09.29,115257,115257,191432,5957038,88255
2021.09.28,11434,11434,9646,5764857,87534
2021.09.27,96222,96222,68353,5754983,86779
2021.09.26,176774,176774,116453,5686072,85848
2021.09.25,154739,154739,104557,5568890,84746
2021.09.24,9616,9616,5711,5463680,84038
2021.09.23,2131,2131,1445,5457830,83490
2021.09.22,6601,6601,2922,5454992,82961
2021.09.21,9186,9186,9519,5451610,82459
2021.09.20,118126,118126,54126,5366174,81952
2021.09.19,191208,191208,115046,5311564,81405
2021.09.18,125986,125986,77409,5196170,80733
2021.09.17,109118,109118,105085,5116318,80075
2021.09.16,173981,173981,57331,5002231,79420
2021.09.15,224412,224412,106341,4944582,78730
2021.09.14,8805,8805,9321,4837904,78267
2021.09.13,103832,103832,61097,4828568,77865
2021.09.12,185799,185799,104799,4767198,77377
2021.09.11,120225,120225,71314,4662053,76805
2021.09.10,102872,102872,77404,4590421,76192
2021.09.09,154015,154015,110234,4512536,75549
2021.09.08,187267,187267,163798,4402024,74846
2021.09.07,3554,3554,3083,4237838,74365
2021.09.06,38243,38243,71033,4234614,73965
2021.09.05,62364,62364,182455,4163331,73517
2021.09.04,49522,49522,120344,3980657,72937
2021.09.03,46826,46826,130584,3859905,72417
2021.09.02,65728,65728,127350,3729034,71720
2021.09.01,103489,103489,147041,3601244,71081
2021.08.31,7578,7578,6527,3453936,70648
