날짜,확진자(누계),확진자,백신접종자(누계),백신접종자
2022년 5월,1078687,30865,2773319,787
2022년 4월,1047822,160881,2772532,3421
2022년 3월,886941,698176,2769111,4975
2022년 2월,188765,158124,2764136,10211
2022년 1월,30641,9360,2753925,28029
2021년 12월,21281,8821,2725896,107946
2021년 11월,12460,2343,2617950,76482
2021년 10월,10117,1200,2541468,117920
2021년 9월,8917,1323,2423548,574138
2021년 8월,7594,3178,1849410,623221
2021년 7월,4416,2029,1226189,233161
2021년 6월,2387,541,993028,713390
2021년 5월,1846,617,279638,159850
2021년 4월,1229,1229,119788,119788
