날짜,확진자(누계),확진자,사망자(누계),검사현황(누계),백신접종자(누계),백신접종자
2022-05-19,"1,082,477","1,260","2,113","8,183,720","2,773,319",38
2022-05-18,"1,081,217","1,476","2,108","8,180,357","2,773,281",35
2022-05-17,"1,079,741","1,910","2,108","8,171,846","2,773,246",36
2022-05-16,"1,077,831",474,"2,105","8,160,158","2,773,210",1
2022-05-15,"1,077,357","1,027","2,100","8,158,252","2,773,209",24
2022-05-14,"1,076,330","1,540","2,100","8,156,126","2,773,185",87
2022-05-13,"1,074,790","1,600","2,098","8,149,408","2,773,098",51
2022-05-12,"1,073,190","1,740","2,098","8,139,171","2,773,047",35
2022-05-11,"1,071,450","1,994","2,094","8,134,539","2,773,012",29
2022-05-10,"1,069,456","2,767","2,088","8,125,878","2,772,983",46
2022-05-09,"1,066,689",716,"2,082","8,115,258","2,772,937",3
2022-05-08,"1,065,973","1,805","2,081","8,112,259","2,772,934",51
2022-05-07,"1,064,168","2,277","2,078","8,108,853","2,772,883",115
2022-05-06,"1,061,891",866,"2,077","8,097,520","2,772,768",4
2022-05-05,"1,061,025","2,046","2,074","8,094,909","2,772,764",67
2022-05-04,"1,058,979","2,171","2,054","8,088,813","2,772,697",41
2022-05-03,"1,056,808","2,868","2,040","8,081,746","2,772,656",53
2022-05-02,"1,053,940",693,"2,020","8,071,229","2,772,603",1
2022-05-01,"1,053,247","1,635","2,006","8,068,866","2,772,602",70
2022-04-30,"1,051,612","2,026","1,995","8,066,337","2,772,532",153
2022-04-29,"1,049,586","2,253","1,976","8,058,949","2,772,379",63
2022-04-28,"1,047,333","2,443","1,960","8,047,698","2,772,316",50
2022-04-27,"1,044,890","3,020","1,943","8,042,343","2,772,266",62
2022-04-26,"1,041,870","3,999","1,932","8,033,202","2,772,204",51
2022-04-25,"1,037,871","1,072","1,915","8,021,705","2,772,153",4
2022-04-24,"1,036,799","2,679","1,908","8,018,425","2,772,149",68
2022-04-23,"1,034,120","3,120","1,904","8,014,264","2,772,081",190
2022-04-22,"1,031,000","3,128","1,897","8,006,151","2,771,891",51
2022-04-21,"1,027,872","3,538","1,888","7,996,862","2,771,840",58
2022-04-20,"1,024,334","3,749","1,877","7,990,057","2,771,782",35
2022-04-19,"1,020,585","5,376","1,856","7,981,392","2,771,747",46
2022-04-18,"1,015,209","1,351","1,835","7,967,933","2,771,701",6
2022-04-17,"1,013,858","3,375","1,830","7,964,514","2,771,695",83
2022-04-16,"1,010,483","3,909","1,821","7,958,615","2,771,612",281
2022-04-15,"1,006,574","4,586","1,806","7,949,097","2,771,331",73
2022-04-14,"1,001,988","5,393","1,789","7,941,355","2,771,258",108
2022-04-13,"996,595","6,362","1,772","7,933,096","2,771,150",48
2022-04-12,"990,233","9,602","1,742","7,922,890","2,771,102",72
2022-04-11,"980,631","2,507","1,720","7,907,896","2,771,030",5
2022-04-10,"978,124","5,985","1,711","7,902,214","2,771,025",132
2022-04-09,"972,139","7,008","1,697","7,893,799","2,770,893",364
2022-04-08,"965,131","7,471","1,683","7,883,271","2,770,529",108
2022-04-07,"957,660","8,450","1,662","7,869,150","2,770,421",117
2022-04-06,"949,210","10,483","1,629","7,858,675","2,770,304",80
2022-04-05,"938,727","12,265","1,604","871,487","2,770,224",149
2022-04-04,"926,462","4,078","1,567","7,828,056","2,770,075",18
2022-04-03,"922,384","9,116","1,552","7,820,812","2,770,057",244
2022-04-02,"913,268","10,686","1,536","7,810,539","2,769,813",492
