접종일,접종대상자,당일 1차접종자 수,1차접종 누계,1차접종률(%),당일 2차접종자 수,2차접종 누계,2차접종률(%),당일 3차접종자 수,3차접종 누계,3차접종률(%),당일 4차접종자 수,4차접종 누계,4차접종률(%),서울시 확진자 일별 총 현황
2022.05.17,9401888,91,8333134,88.6,105,8246916,87.7,984,5988476,63.7,9873,577222,6.1,218563
2022.05.16,9401888,127,8333032,88.6,154,8246798,87.7,1283,5987439,63.7,9400,567245,6,218174
2022.05.15,9401888,6,8332818,88.6,1,8246547,87.7,16,5986064,63.7,86,557798,5.9,218077
2022.05.14,9401888,170,8332868,88.6,150,8246606,87.7,702,5986097,63.7,6018,557702,5.9,217859
2022.05.13,9401888,236,8332780,88.6,311,8246536,87.7,1694,5985314,63.7,23392,550834,5.9,217525
2022.05.12,9401888,100,8332525,88.6,161,8246202,87.7,1312,5983607,63.6,13083,527311,5.6,217198
2022.05.11,9401888,105,8332472,88.6,159,8246079,87.7,1271,5982236,63.6,13643,514131,5.5,216795
2022.05.10,9401888,131,8332404,88.6,135,8245952,87.7,1239,5980938,63.6,17227,500337,5.3,216342
2022.05.09,9401888,145,8332294,88.6,174,8245835,87.7,1805,5979751,63.6,16048,482950,5.1,215858
2022.05.08,9401888,1,8332038,88.6,0,8245540,87.7,20,5977804,63.6,88,466848,5,215692
2022.05.07,9401888,116,8332055,88.6,137,8245562,87.7,814,5977788,63.6,8479,466725,5,215357
2022.05.06,9401888,350,8332068,88.6,471,8245547,87.7,2883,5977009,63.6,38154,458021,4.9,214986
2022.05.05,9401888,9,8331631,88.6,8,8244991,87.7,101,5973960,63.5,523,419713,4.5,214742
2022.05.04,9401888,161,8331737,88.6,170,8245101,87.7,1550,5973891,63.5,21656,419007,4.5,214266
2022.05.03,9401888,126,8331636,88.6,169,8244988,87.7,1686,5972363,63.5,25756,397248,4.2,213739
2022.05.02,9401888,183,8331595,88.6,181,8244906,87.7,1977,5970770,63.5,26727,371260,3.9,213173
2022.05.01,9401888,2,8331231,88.6,0,8244535,87.7,20,5968640,63.5,200,344439,3.7,213009
2022.04.30,9401888,238,8331269,88.6,214,8244567,87.7,1085,5968636,63.5,14940,344216,3.7,212701
2022.04.29,9401888,480,8331247,88.6,554,8244585,87.7,3081,5967685,63.5,62443,328997,3.5,212246
2022.04.28,9401888,159,8330802,88.6,269,8244064,87.7,1840,5964584,63.4,32157,266484,2.8,211700
2022.04.27,9401888,157,8330624,88.6,188,8243775,87.7,1419,5962660,63.4,33440,233955,2.5,211044
2022.04.26,9401888,173,8330488,88.6,182,8243603,87.7,1346,5961216,63.4,35756,200262,2.1,210138
2022.04.25,9401888,176,8330302,88.6,227,8243405,87.7,1804,5959796,63.4,36464,164120,1.7,209255
2022.04.24,9401888,3,8330042,88.6,2,8243081,87.7,28,5957880,63.4,118,127583,1.4,208965
2022.04.23,9401888,238,8330038,88.6,226,8243076,87.7,1011,5957849,63.4,6014,127461,1.4,208462
2022.04.22,9401888,593,8329882,88.6,651,8242947,87.7,3092,5956856,63.4,21899,121233,1.3,207515
2022.04.21,9401888,182,8329265,88.6,248,8242260,87.7,1969,5953671,63.3,9984,99242,1.1,206379
2022.04.20,9401888,145,8329133,88.6,170,8242054,87.7,1493,5951748,63.3,9169,89153,0.9,205275
2022.04.19,9401888,112,8328950,88.6,153,8241849,87.7,1161,5950191,63.3,9013,79927,0.9,204001
2022.04.18,9401888,135,8328836,88.6,208,8241677,87.7,1726,5948932,63.3,8902,70771,0.8,202720
2022.04.17,9401888,13,8328542,88.6,2,8241304,87.7,22,5947048,63.3,45,61818,0.7,202337
2022.04.16,9401888,323,8328527,88.6,211,8241299,87.7,1367,5947011,63.3,3017,61766,0.7,201560
2022.04.15,9401888,890,8328244,88.6,551,8241161,87.7,4441,5945600,63.2,11703,58588,0.6,200422
2022.04.14,9401888,202,8327332,88.6,246,8240577,87.6,2824,5941025,63.2,5800,46757,0.5,198968
2022.04.13,9401888,215,8327086,88.6,246,8240282,87.6,1985,5938166,63.2,594,40919,0.4,197305
2022.04.12,9401888,205,8326839,88.6,233,8239992,87.6,1683,5936113,63.1,463,40252,0.4,195022
