날짜,확진자(누계),확진자,백신접종자(누계),백신접종자
2022년 5월,1058349,30840,2446364,685
2022년 4월,1027509,215873,2445679,4131
2022년 3월,811636,594826,2441548,4213
2022년 2월,216810,170201,2437335,9380
2022년 1월,46609,14942,2427955,24809
2021년 12월,31667,12106,2403146,80653
2021년 11월,19561,5246,2322493,83091
2021년 10월,14315,3571,2239402,124861
2021년 9월,10744,3975,2114541,615941
2021년 8월,6769,2767,1498600,566462
2021년 7월,4002,2293,932138,208332
2021년 6월,1709,569,723806,511623
2021년 5월,1140,533,212183,111356
2021년 4월,607,607,100827,100827
