날짜,확진자(누계),확진자,백신접종자(누계),백신접종자
2022-05-19,"1,058,449","1,337","2,446,384",17
2022-05-18,"1,057,112","1,395","2,446,367",20
2022-05-17,"1,055,717","1,725","2,446,347",26
2022-05-16,"1,053,992",607,"2,446,321",0
2022-05-15,"1,053,385","1,158","2,446,321",51
2022-05-14,"1,052,227","1,413","2,446,270",75
2022-05-13,"1,050,814","1,513","2,446,195",48
2022-05-12,"1,049,301","1,684","2,446,147",25
2022-05-11,"1,047,617","2,175","2,446,122",27
2022-05-10,"1,045,442","2,555","2,446,095",36
2022-05-09,"1,042,887",922,"2,446,059",1
2022-05-08,"1,041,965","1,708","2,446,058",52
2022-05-07,"1,040,257","2,021","2,446,006",85
2022-05-06,"1,038,236","1,164","2,445,921",2
2022-05-05,"1,037,072","2,017","2,445,919",53
2022-05-04,"1,035,055","2,167","2,445,866",37
2022-05-03,"1,032,888","2,608","2,445,829",44
2022-05-02,"1,030,280",911,"2,445,785",2
2022-05-01,"1,029,369","1,760","2,445,783",84
2022-04-30,"1,027,609","1,960","2,445,699",159
2022-04-29,"1,025,649","2,254","2,445,540",49
2022-04-28,"1,023,395","2,845","2,445,491",67
2022-04-27,"1,020,550","3,624","2,445,424",43
2022-04-26,"1,016,926","4,282","2,445,381",51
2022-04-25,"1,012,644","1,656","2,445,330",3
2022-04-24,"1,010,988","3,319","2,445,327",94
2022-04-23,"1,007,669","3,674","2,445,233",205
2022-04-22,"1,003,995","4,098","2,445,028",78
2022-04-21,"999,897","4,667","2,444,950",74
2022-04-20,"995,230","5,435","2,444,876",33
2022-04-19,"989,795","6,668","2,444,843",37
2022-04-18,"983,127","2,487","2,444,806",1
2022-04-17,"980,640","4,874","2,444,805",127
2022-04-16,"975,766","5,606","2,444,678",335
2022-04-15,"970,160","6,690","2,444,343",65
2022-04-14,"963,470","7,631","2,444,278",86
2022-04-13,"955,839","9,667","2,444,192",63
2022-04-12,"946,172","11,648","2,444,129",78
2022-04-11,"934,524","4,385","2,444,051",4
