일자,누적확진,신규확진,인구확진률,인구,누적사망,신규사망,사망률,누적 1차,누적 2차,당일1차,당일2차,1차접종률,2차접종률,미접종자수
2022-05-23,17993985,26313,35.06,51329905,24006,19,0.13,45049534,44570419,471,732,87.76,86.83,6280371
2022-05-22,17967672,9975,35,51329905,23987,22,0.13,45049063,44569687,6,11,87.76,86.83,6280842
2022-05-21,17957697,19298,34.98,51329905,23965,54,0.13,45049057,44569676,530,772,87.76,86.83,6280848
2022-05-20,17938399,23442,34.95,51329905,23911,26,0.13,45048527,44568904,1138,1912,87.76,86.83,6281378
2022-05-19,17914957,25108,34.9,51329905,23885,43,0.13,45047389,44566992,508,842,87.76,86.82,6282516
2022-05-18,17889849,28105,34.85,51329905,23842,40,0.13,45046881,44566150,532,760,87.76,86.82,6283024
2022-05-17,17861744,31315,34.8,51329905,23802,31,0.13,45046349,44565390,518,678,87.76,86.82,6283556
2022-05-16,17830429,35072,34.74,51329905,23771,27,0.13,45045831,44564712,575,760,87.76,86.82,6284074
2022-05-15,17795357,13296,34.67,51329905,23744,35,0.13,45045256,44563952,9,7,87.76,86.82,6284649
2022-05-14,17782061,25434,34.64,51329905,23709,48,0.13,45045247,44563945,705,739,87.76,86.82,6284658
2022-05-13,17756627,29541,34.59,51329905,23661,55,0.13,45044542,44563206,1482,1970,87.75,86.82,6285363
2022-05-12,17727086,32409,34.54,51329905,23606,52,0.13,45043060,44561236,713,929,87.75,86.81,6286845
2022-05-11,17694677,35883,34.47,51329905,23554,63,0.13,45042347,44560307,602,905,87.75,86.81,6287558
2022-05-10,17658794,43899,34.4,51329905,23491,29,0.13,45041745,44559402,607,825,87.75,86.81,6288160
2022-05-09,17614895,49896,34.32,51329905,23462,62,0.13,45041138,44558577,716,894,87.75,86.81,6288767
2022-05-08,17564999,20601,34.22,51329905,23400,40,0.13,45040422,44557683,12,7,87.75,86.81,6289483
2022-05-07,17544398,40064,34.18,51329905,23360,71,0.13,45040410,44557676,604,745,87.75,86.81,6289495
2022-05-06,17504334,39552,34.1,51329905,23289,83,0.13,45039806,44556931,1989,2580,87.75,86.81,6290099
2022-05-05,17464782,26714,34.02,51329905,23206,48,0.13,45037817,44554351,49,48,87.74,86.8,6292088
2022-05-04,17438068,42277,33.97,51329905,23158,79,0.13,45037768,44554303,921,946,87.74,86.8,6292137
2022-05-03,17395791,49038,33.89,51329905,23079,72,0.13,45036847,44553357,752,968,87.74,86.8,6293058
2022-05-02,17346753,51020,33.79,51329905,23007,49,0.13,45036095,44552389,842,960,87.74,86.8,6293810
2022-05-01,17295733,20084,33.7,51329905,22958,83,0.13,45035253,44551429,10,15,87.74,86.79,6294652
2022-04-30,17275649,37771,33.66,51329905,22875,81,0.13,45035243,44551414,1264,1127,87.74,86.79,6294662
2022-04-29,17237878,43262,33.58,51329905,22794,70,0.13,45033979,44550287,2904,3258,87.73,86.79,6295926
2022-04-28,17194616,50568,33.5,51329905,22724,136,0.13,45031075,44547029,1077,1359,87.73,86.79,6298830
2022-04-27,17144048,57422,33.4,51329905,22588,122,0.13,45029998,44545670,1059,1133,87.73,86.78,6299907
2022-04-26,17086626,76761,33.29,51329905,22466,141,0.13,45028939,44544537,902,1042,87.72,86.78,6300966
2022-04-25,17009865,80301,33.14,51329905,22325,82,0.13,45028037,44543495,881,1232,87.72,86.78,6301868
2022-04-24,16929564,34370,32.98,51329905,22243,110,0.13,45027156,44542263,18,24,87.72,86.78,6302749
2022-04-23,16895194,64725,32.91,51329905,22133,109,0.13,45027138,44542239,1324,1311,87.72,86.78,6302767
2022-04-22,16830469,75414,32.79,51329905,22024,151,0.13,45025814,44540928,3812,3993,87.72,86.77,6304091
2022-04-21,16755055,81010,32.64,51329905,21873,206,0.13,45022002,44536935,1151,1471,87.71,86.77,6307903
2022-04-20,16674045,90825,32.48,51329905,21667,147,0.13,45020851,44535464,1049,1132,87.71,86.76,6309054
2022-04-19,16583220,111280,32.31,51329905,21520,166,0.13,45019802,44534332,708,936,87.71,86.76,6310103
2022-04-18,16471940,118445,32.09,51329905,21354,130,0.13,45019094,44533396,804,996,87.71,86.76,6310811
2022-04-17,16353495,47743,31.86,51329905,21224,132,0.13,45018290,44532400,25,15,87.7,86.76,6311615
2022-04-16,16305752,93001,31.77,51329905,21092,203,0.13,45018265,44532385,1783,1203,87.7,86.76,6311640
2022-04-15,16212751,107882,31.59,51329905,20889,273,0.13,45016482,44531182,5562,3228,87.7,86.75,6313423
2022-04-14,16104869,125808,31.38,51329905,20616,264,0.13,45010920,44527954,1443,1571,87.69,86.75,6318985
2022-04-13,15979061,148417,31.13,51329905,20352,318,0.13,45009477,44526383,1586,1299,87.69,86.75,6320428
2022-04-12,15830644,195370,30.84,51329905,20034,184,0.13,45007891,44525084,1139,1320,87.68,86.74,6322014
2022-04-11,15635274,210676,30.46,51329905,19850,171,0.13,45006752,44523764,1296,1641,87.68,86.74,6323153
2022-04-10,15424598,90928,30.05,51329905,19679,258,0.13,45005456,44522123,28,20,87.68,86.74,6324449
2022-04-09,15333670,164481,29.87,51329905,19421,329,0.13,45005428,44522103,3521,1340,87.68,86.74,6324477
2022-04-08,15169189,185495,29.55,51329905,19092,338,0.13,45001907,44520763,8017,3942,87.67,86.73,6327998
2022-04-07,14983694,205289,29.19,51329905,18754,373,0.13,44993890,44516821,2530,1920,87.66,86.73,6336015
2022-04-06,14778405,224761,28.79,51329905,18381,348,0.12,44991360,44514901,2254,1651,87.65,86.72,6338545
2022-04-05,14553644,286243,28.35,51329905,18033,371,0.12,44989106,44513250,1957,1876,87.65,86.72,6340799
2022-04-04,14267401,265995,27.8,51329905,17662,209,0.12,44987149,44511374,2885,2650,87.64,86.72,6342756
2022-04-03,14001406,127190,27.28,51329905,17453,218,0.12,44984264,44508724,57,42,87.64,86.71,6345641
2022-04-02,13874216,234301,27.03,51329905,17235,306,0.12,44984207,44508682,6159,2375,87.64,86.71,6345698
2022-04-01,13639915,264097,26.57,51329905,16929,339,0.12,44978048,44506307,11114,6011,87.63,86.71,6351857
2022-03-31,13375818,280187,26.06,51329905,16590,360,0.12,44966934,44500296,4586,3378,87.6,86.69,6362971
2022-03-30,13095631,320675,25.51,51329905,16230,375,0.12,44962348,44496918,1189,1278,87.59,86.69,6367557
2022-03-29,12774956,424528,24.89,51329905,15855,432,0.12,44961159,44495640,1330,3762,87.59,86.69,6368746
2022-03-28,12350428,347374,24.06,51329905,15423,237,0.12,44959829,44491878,1662,5155,87.59,86.68,6370076
2022-03-27,12003054,187213,23.38,51329905,15186,287,0.13,44958167,44486723,23,28,87.59,86.67,6371738
2022-03-26,11815841,318130,23.02,51329905,14899,282,0.13,44958144,44486695,1513,1107,87.59,86.67,6371761
2022-03-25,11497711,335479,22.4,51329905,14617,323,0.13,44956631,44485588,3222,2868,87.58,86.67,6373274
2022-03-24,11162232,339396,21.75,51329905,14294,392,0.13,44953409,44482720,1782,1550,87.58,86.66,6376496
2022-03-23,10822836,395589,21.08,51329905,13902,470,0.13,44951627,44481170,1526,1288,87.57,86.66,6378278
2022-03-22,10427247,490707,20.31,51329905,13432,291,0.13,44950101,44479882,1837,1244,87.57,86.65,6379804
2022-03-21,9936540,353725,19.36,51329905,13141,384,0.13,44948264,44478638,2281,2295,87.57,86.65,6381641
2022-03-20,9582815,209169,18.67,51329905,12757,329,0.13,44945983,44476343,26,33,87.56,86.65,6383922
2022-03-19,9373646,334708,18.26,51329905,12428,327,0.13,44945957,44476310,2087,1929,87.56,86.65,6383948
2022-03-18,9038938,381329,17.61,51329905,12101,319,0.13,44943870,44474381,4769,5681,87.56,86.64,6386035
2022-03-17,8657609,407017,16.87,51329905,11782,301,0.14,44939101,44468700,2566,2722,87.55,86.63,6390804
2022-03-16,8250592,621317,16.07,51329905,11481,429,0.14,44936535,44465978,2253,2479,87.54,86.63,6393370
2022-03-15,7629275,400725,14.86,51329905,11052,164,0.14,44934282,44463499,2508,3341,87.54,86.62,6395623
2022-03-14,7228550,362328,14.08,51329905,10888,293,0.15,44931774,44460158,3697,4923,87.54,86.62,6398131
2022-03-13,6866222,309769,13.38,51329905,10595,200,0.15,44928077,44455235,82,107,87.53,86.61,6401828
