일자,누적확진(명),신규확진(명),인구확진률(%),인구(명),누적사망(명),신규사망(명),사망률(%),총(누적),1차(누적),완료(누적),추가(누적),총(일),1차(일),완료(일),추가(일),1차(%),완료(%),추가(%),미접종자수
2022-05-23,17993985,26313,35.06,51329905,24006,19,0.13,125225298,45049534,44570419,37121682,42122,471,732,40925,87.76,86.83,72.32,6280371
2022-05-22,17967672,9975,35,51329905,23987,22,0.13,125183176,45049063,44569687,37080757,316,6,11,299,87.76,86.83,72.24,6280842
2022-05-21,17957697,19298,34.98,51329905,23965,54,0.13,125182860,45049057,44569676,37080458,24167,530,772,22868,87.76,86.83,72.24,6280848
2022-05-20,17938399,23442,34.95,51329905,23911,26,0.13,125158693,45048527,44568904,37057590,104828,1138,1912,101783,87.76,86.83,72.19,6281378
2022-05-19,17914957,25108,34.9,51329905,23885,43,0.13,125053865,45047389,44566992,36955807,61047,508,842,59701,87.76,86.82,72,6282516
2022-05-18,17889849,28105,34.85,51329905,23842,40,0.13,124992818,45046881,44566150,36896106,64337,532,760,63055,87.76,86.82,71.88,6283024
2022-05-17,17861744,31315,34.8,51329905,23802,31,0.13,124928481,45046349,44565390,36833051,76244,518,678,75051,87.76,86.82,71.76,6283556
2022-05-16,17830429,35072,34.74,51329905,23771,27,0.13,124852237,45045831,44564712,36758000,63717,575,760,62386,87.76,86.82,71.61,6284074
2022-05-15,17795357,13296,34.67,51329905,23744,35,0.13,124788520,45045256,44563952,36695614,491,9,7,475,87.76,86.82,71.49,6284649
2022-05-14,17782061,25434,34.64,51329905,23709,48,0.13,124788029,45045247,44563945,36695139,36870,705,739,35427,87.76,86.82,71.49,6284658
2022-05-13,17756627,29541,34.59,51329905,23661,55,0.13,124751159,45044542,44563206,36659712,163771,1482,1970,160323,87.75,86.82,71.42,6285363
2022-05-12,17727086,32409,34.54,51329905,23606,52,0.13,124587388,45043060,44561236,36499389,104791,713,929,103151,87.75,86.81,71.11,6286845
2022-05-11,17694677,35883,34.47,51329905,23554,63,0.13,124482597,45042347,44560307,36396238,107182,602,905,105687,87.75,86.81,70.91,6287558
2022-05-10,17658794,43899,34.4,51329905,23491,29,0.13,124375415,45041745,44559402,36290551,127479,607,825,126048,87.75,86.81,70.7,6288160
2022-05-09,17614895,49896,34.32,51329905,23462,62,0.13,124247936,45041138,44558577,36164503,107615,716,894,106013,87.75,86.81,70.46,6288767
2022-05-08,17564999,20601,34.22,51329905,23400,40,0.13,124140321,45040422,44557683,36058490,639,12,7,620,87.75,86.81,70.25,6289483
2022-05-07,17544398,40064,34.18,51329905,23360,71,0.13,124139682,45040410,44557676,36057870,50043,604,745,48694,87.75,86.81,70.25,6289495
2022-05-06,17504334,39552,34.1,51329905,23289,83,0.13,124089639,45039806,44556931,36009176,254837,1989,2580,250274,87.75,86.81,70.15,6290099
2022-05-05,17464782,26714,34.02,51329905,23206,48,0.13,123834802,45037817,44554351,35758902,3647,49,48,3550,87.74,86.8,69.66,6292088
2022-05-04,17438068,42277,33.97,51329905,23158,79,0.13,123831155,45037768,44554303,35755352,162413,921,946,160554,87.74,86.8,69.66,6292137
2022-05-03,17395791,49038,33.89,51329905,23079,72,0.13,123668742,45036847,44553357,35594798,181641,752,968,179923,87.74,86.8,69.35,6293058
2022-05-02,17346753,51020,33.79,51329905,23007,49,0.13,123487101,45036095,44552389,35414875,167098,842,960,165300,87.74,86.8,68.99,6293810
2022-05-01,17295733,20084,33.7,51329905,22958,83,0.13,123320003,45035253,44551429,35249575,1187,10,15,1162,87.74,86.79,68.67,6294652
2022-04-30,17275649,37771,33.66,51329905,22875,81,0.13,123318816,45035243,44551414,35248413,83548,1264,1127,81157,87.74,86.79,68.67,6294662
2022-04-29,17237878,43262,33.58,51329905,22794,70,0.13,123235268,45033979,44550287,35167256,395043,2904,3258,388886,87.73,86.79,68.51,6295926
2022-04-28,17194616,50568,33.5,51329905,22724,136,0.13,122840225,45031075,44547029,34778370,212246,1077,1359,209815,87.73,86.79,67.75,6298830
2022-04-27,17144048,57422,33.4,51329905,22588,122,0.13,122627979,45029998,44545670,34568555,230672,1059,1133,228490,87.73,86.78,67.35,6299907
2022-04-26,17086626,76761,33.29,51329905,22466,141,0.13,122397307,45028939,44544537,34340065,224816,902,1042,222874,87.72,86.78,66.9,6300966
2022-04-25,17009865,80301,33.14,51329905,22325,82,0.13,122172491,45028037,44543495,34117191,210327,881,1232,208216,87.72,86.78,66.47,6301868
2022-04-24,16929564,34370,32.98,51329905,22243,110,0.13,121962164,45027156,44542263,33908975,575,18,24,533,87.72,86.78,66.06,6302749
2022-04-23,16895194,64725,32.91,51329905,22133,109,0.13,121961589,45027138,44542239,33908442,40749,1324,1311,38117,87.72,86.78,66.06,6302767
2022-04-22,16830469,75414,32.79,51329905,22024,151,0.13,121920840,45025814,44540928,33870325,156248,3812,3993,148446,87.72,86.77,65.99,6304091
2022-04-21,16755055,81010,32.64,51329905,21873,206,0.13,121764592,45022002,44536935,33721879,72285,1151,1471,69669,87.71,86.77,65.7,6307903
2022-04-20,16674045,90825,32.48,51329905,21667,147,0.13,121692307,45020851,44535464,33652210,75290,1049,1132,73110,87.71,86.76,65.56,6309054
2022-04-19,16583220,111280,32.31,51329905,21520,166,0.13,121617017,45019802,44534332,33579100,64025,708,936,62382,87.71,86.76,65.42,6310103
2022-04-18,16471940,118445,32.09,51329905,21354,130,0.13,121552992,45019094,44533396,33516718,62060,804,996,60265,87.71,86.76,65.3,6310811
2022-04-17,16353495,47743,31.86,51329905,21224,132,0.13,121490932,45018290,44532400,33456453,343,25,15,303,87.7,86.76,65.18,6311615
2022-04-16,16305752,93001,31.77,51329905,21092,203,0.13,121490589,45018265,44532385,33456150,27436,1783,1203,24450,87.7,86.76,65.18,6311640
2022-04-15,16212751,107882,31.59,51329905,20889,273,0.13,121463153,45016482,44531182,33431700,102343,5562,3228,93563,87.7,86.75,65.13,6313423
2022-04-14,16104869,125808,31.38,51329905,20616,264,0.13,121360810,45010920,44527954,33338137,50067,1443,1571,47062,87.69,86.75,64.95,6318985
2022-04-13,15979061,148417,31.13,51329905,20352,318,0.13,121310743,45009477,44526383,33291075,20630,1586,1299,17757,87.69,86.75,64.86,6320428
2022-04-12,15830644,195370,30.84,51329905,20034,184,0.13,121290113,45007891,44525084,33273318,14847,1139,1320,12390,87.68,86.74,64.82,6322014
2022-04-11,15635274,210676,30.46,51329905,19850,171,0.13,121275266,45006752,44523764,33260928,19136,1296,1641,16201,87.68,86.74,64.8,6323153
2022-04-10,15424598,90928,30.05,51329905,19679,258,0.13,121256130,45005456,44522123,33244727,247,28,20,200,87.68,86.74,64.77,6324449
2022-04-09,15333670,164481,29.87,51329905,19421,329,0.13,121255883,45005428,44522103,33244527,18569,3521,1340,13708,87.68,86.74,64.77,6324477
2022-04-08,15169189,185495,29.55,51329905,19092,338,0.13,121237314,45001907,44520763,33230819,51115,8017,3942,39156,87.67,86.73,64.74,6327998
2022-04-07,14983694,205289,29.19,51329905,18754,373,0.13,121186199,44993890,44516821,33191663,29993,2530,1920,25547,87.66,86.73,64.66,6336015
2022-04-06,14778405,224761,28.79,51329905,18381,348,0.12,121156206,44991360,44514901,33166116,25576,2254,1651,21677,87.65,86.72,64.61,6338545
2022-04-05,14553644,286243,28.35,51329905,18033,371,0.12,121130630,44989106,44513250,33144439,20252,1957,1876,16424,87.65,86.72,64.57,6340799
2022-04-04,14267401,265995,27.8,51329905,17662,209,0.12,121110378,44987149,44511374,33128015,30730,2885,2650,25201,87.64,86.72,64.54,6342756
2022-04-03,14001406,127190,27.28,51329905,17453,218,0.12,121079648,44984264,44508724,33102814,392,57,42,293,87.64,86.71,64.49,6345641
2022-04-02,13874216,234301,27.03,51329905,17235,306,0.12,121079256,44984207,44508682,33102521,29079,6159,2375,20545,87.64,86.71,64.49,6345698
2022-04-01,13639915,264097,26.57,51329905,16929,339,0.12,121050177,44978048,44506307,33081976,64385,11114,6011,47266,87.63,86.71,64.45,6351857
2022-03-31,13375818,280187,26.06,51329905,16590,360,0.12,120985792,44966934,44500296,33034710,45602,4586,3378,37641,87.6,86.69,64.36,6362971
2022-03-30,13095631,320675,25.51,51329905,16230,375,0.12,120940190,44962348,44496918,32997069,35589,1189,1278,33129,87.59,86.69,64.28,6367557
2022-03-29,12774956,424528,24.89,51329905,15855,432,0.12,120904601,44961159,44495640,32963940,32228,1330,3762,27136,87.59,86.69,64.22,6368746
2022-03-28,12350428,347374,24.06,51329905,15423,237,0.12,120872373,44959829,44491878,32936804,49426,1662,5155,42616,87.59,86.68,64.17,6370076
