날짜,일일 확진자,백신접종자
2022-05-19,1041,27
2022-05-18,1209,22
2022-05-17,1255,13
2022-05-16,505,0
2022-05-15,1125,22
2022-05-14,1234,55
2022-05-13,1394,41
2022-05-12,1486,42
2022-05-11,1875,38
2022-05-10,2303,35
2022-05-09,904,0
2022-05-08,1900,17
2022-05-07,1914,109
2022-05-06,1298,1
2022-05-05,1927,58
2022-05-04,2348,26
2022-05-03,2550,26
2022-05-02,995,0
2022-05-01,1962,57
2022-04-30,2263,39
2022-04-29,2565,48
2022-04-28,2571,84
2022-04-27,3635,19
2022-04-26,3836,39
2022-04-25,1788,0
2022-04-24,3171,26
2022-04-23,3558,194
2022-04-22,3828,54
2022-04-21,3975,90
2022-04-20,4932,26
2022-04-19,5081,29
2022-04-18,2132,0
2022-04-17,4396,57
2022-04-16,4971,343
2022-04-15,5721,65
2022-04-14,6912,183
2022-04-13,8447,49
2022-04-12,9089,67
2022-04-11,4450,1
2022-04-10,7802,142
2022-04-09,8437,554
2022-04-08,8672,144
2022-04-07,9908,240
2022-04-06,12387,91
2022-04-05,10990,206
2022-04-04,5959,0
2022-04-03,10438,204
2022-04-02,11160,810
2022-04-01,11826,298
2022-03-31,13707,42
2022-03-30,17462,42
2022-03-29,13632,64
2022-03-28,8398,0
2022-03-27,12294,51
2022-03-26,12849,117
2022-03-25,12670,66
2022-03-24,13691,59
2022-03-23,15432,54
2022-03-22,12280,89
2022-03-21,6857,0
2022-03-20,10898,57
2022-03-19,10778,176
2022-03-18,11364,106
2022-03-17,18958,98
2022-03-16,9314,74
2022-03-15,11454,136
2022-03-14,10933,0
2022-03-13,9546,104
2022-03-12,10218,306
2022-03-11,8987,182
2022-03-10,8470,36
2022-03-09,7957,198
2022-03-08,6014,266
2022-03-07,5738,0
2022-03-06,5706,77
2022-03-05,5967,134
2022-03-04,6412,69
2022-03-03,5244,93
2022-03-02,4996,1
2022-03-01,3283,199
2022-02-28,3320,2
2022-02-27,3413,119
2022-02-26,3437,331
2022-02-25,3533,194
2022-02-24,3367,214
2022-02-23,3083,180
2022-02-22,2109,261
2022-02-21,2070,2
2022-02-20,2064,110
2022-02-19,1900,356
2022-02-18,1911,282
2022-02-17,1893,292
2022-02-16,1930,267
