날짜,확진자(누계),확진자,백신접종자(누계),백신접종자
2022년 5월,700943,29924,1829316,547
2022년 4월,671019,195281,1828769,3772
2022년 3월,475738,375479,1824997,3648
2022년 2월,100259,77896,1821349,7186
2022년 1월,22363,6888,1814163,21063
2021년 12월,15475,5174,1793100,64815
2021년 11월,10301,2331,1728285,61651
2021년 10월,7970,1468,1666634,89622
2021년 9월,6502,2196,1577012,391012
2021년 8월,4306,1991,1186000,407889
2021년 7월,2315,1142,778111,150073
2021년 6월,1173,266,628038,413821
2021년 5월,907,505,214217,99675
2021년 4월,402,402,114542,114542
