날짜,확진자(누계),확진자,백신접종자(누계),백신접종자
2022-05-18,699305,"1,469",1819486,7
2022-05-17,697836,"1,543",1819479,21
2022-05-16,696293,638,1819458,0
2022-05-15,695655,"1,250",1819458,20
2022-05-14,694405,"1,283",1819438,60
2022-05-13,693122,"1,397",1819378,24
2022-05-12,691725,"1,605",1819354,32
2022-05-11,690120,"2,084",1819322,37
2022-05-10,688036,"2,268",1819285,32
2022-05-09,685768,902,1819253,0
2022-05-08,684866,"1,747",1819253,20
2022-05-07,683119,"1,771",1819233,95
2022-05-06,681348,"1,191",1819138,1
2022-05-05,680157,"1,920",1819137,54
2022-05-04,678237,"2,261",1819083,32
2022-05-03,675976,"2,410",1819051,44
2022-05-02,673566,878,1819007,0
2022-05-01,672688,"1,821",1819007,38
2022-04-30,670867,"1,943",1818969,154
2022-04-29,668924,"2,323",1818815,66
2022-04-28,666601,"2,672",1818749,62
2022-04-27,663929,"3,691",1818687,44
2022-04-26,660238,"3,737",1818643,32
2022-04-25,656501,"1,534",1818611,0
2022-04-24,654967,"3,006",1818611,28
2022-04-23,651961,"3,873",1818583,235
2022-04-22,648088,"3,844",1818348,58
2022-04-21,644244,"4,376",1818290,65
2022-04-20,639868,"5,243",1818225,38
2022-04-19,634625,"5,470",1818187,34
2022-04-18,629155,"2,404",1818153,0
2022-04-17,626751,"5,442",1818153,61
2022-04-16,621309,"5,272",1818092,312
2022-04-15,616037,"5,979",1817780,74
2022-04-14,610058,"6,805",1817706,71
2022-04-13,603253,"9,244",1817635,52
2022-04-12,594009,"10,069",1817583,61
2022-04-11,583940,"4,222",1817522,0
2022-04-10,579718,"7,997",1817522,178
2022-04-09,571721,"8,803",1817344,477
2022-04-08,562918,"9,507",1816867,113
2022-04-07,553411,"10,334",1816754,156
2022-04-06,543077,"13,572",1816598,84
2022-04-05,529505,"12,013",1816514,150
2022-04-04,517492,"5,642",1816364,2
2022-04-03,511850,"11,168",1816362,288
2022-04-02,500682,"11,903",1816074,633
2022-04-01,488779,"13,142",1815441,244
2022-03-31,475637,"14,361",1815197,54
2022-03-30,461276,"18,964",1815143,56
2022-03-29,442312,"13,994",1815087,81
2022-03-28,428318,"7,954",1815006,4
2022-03-27,420364,"13,785",1815002,73
2022-03-26,406579,"13,166",1814929,142
2022-03-25,393413,"13,816",1814787,69
2022-03-24,379597,"16,427",1814718,85
2022-03-23,363170,"18,871",1814633,86
2022-03-22,344299,"15,147",1814547,96
2022-03-21,329152,"8,726",1814451,2
2022-03-20,320426,"12,642",1814449,106
2022-03-19,307784,"15,625",1814343,189
2022-03-18,292159,"14,239",1814154,139
2022-03-17,277920,"22,987",1814015,100
2022-03-16,254933,"13,701",1813915,124
2022-03-15,241232,"16,287",1813791,144
2022-03-14,224945,"12,328",1813647,5
2022-03-13,212617,"10,740",1813642,148
2022-03-12,201877,"13,643",1813494,405
2022-03-11,188234,"10,798",1813089,208
2022-03-10,177436,"10,665",1812881,43
2022-03-09,166771,"10,825",1812838,245
2022-03-08,155946,"6,996",1812593,346
2022-03-07,148950,"6,775",1812247,10
2022-03-06,142175,"7,285",1812237,87
2022-03-05,134890,"8,010",1812150,165
2022-03-04,126880,"8,263",1811985,93
2022-03-03,118617,"6,639",1811892,92
2022-03-02,111978,"6,915",1811800,5
2022-03-01,105063,"4,853",1811795,246
2022-02-28,100210,"5,084",1811549,9
2022-02-27,95126,"5,963",1811540,205
2022-02-26,89163,"5,284",1811335,422
2022-02-25,83879,"5,184",1810913,226
2022-02-24,78695,"4,987",1810687,215
2022-02-23,73708,"4,838",1810472,238
2022-02-22,68870,"3,337",1810234,329
2022-02-21,65533,"3,313",1809905,20
2022-02-20,62220,"3,348",1809885,282
2022-02-19,58872,"4,077",1809603,422
2022-02-18,54795,"2,944",1809181,332
2022-02-17,51851,"3,015",1808849,351
2022-02-16,48836,"3,003",1808498,348
2022-02-15,45833,"2,218",1808150,419
2022-02-14,43615,"2,496",1807731,15
